Site,Date,BasinName,PC1,PC2,PC3,HortonsBifurcRatio,TotStreamLengthkm,Magnitude,fa1,fa2,fa3,c1n,c2n,c3n,c4n,c5n,c6n,c7n,c8n,c9n,c10n,bcns,rt,t1,ma1,ma2,ma3
BMT1U1,18-Jun-12,BigRun,-1.205078358,-0.780421934,-0.072026632,2.8469,51.437,51,1,0,1,3.033208666,3.4457418006,3.8582749351,4.2708080826,4.6833412171,5.0958743516,5.5084074861,5.9209406336,6.3334737681,6.7460069026,0.772399109,1.8184,0.305959693,,,
BMT1U2,15-Jun-12,BigRun,-0.254375691,-1.799250745,-1.009534843,2.8469,51.437,51,0,0,0,3.033208666,3.4457418006,3.8582749351,4.2708080826,4.6833412171,5.0958743516,5.5084074861,5.9209406336,6.3334737681,6.7460069026,0.772399109,1.8184,0.305959693,,,
BRC1DS,13-Jun-12,BigRun,-0.259731501,-1.859668949,-0.788423675,2.8469,51.437,51,1,1,0,1.439150145,2.4056573055,3.3721681608,4.3386738406,5.3051792247,6.2716921475,7.2381918588,8.2047071415,9.1712128557,10.1377215442,0.2257432424,1.8184,0.305959693,,,1
BRC1EL,13-Jun-12,BigRun,-1.127637162,-0.129889947,-1.497875645,2.8469,51.437,51,2,2,1,1.4641458037,2.4570515302,3.4499599614,4.4428642072,5.4357671668,6.4286786555,7.4215759428,8.4144897914,9.4073930811,10.4003003357,0.087866984,1.8184,0.305959693,1,,1
BRC1WL,13-Jun-12,BigRun,0.361807238,-1.064088454,0.387504967,2.8469,51.437,51,0,0,0,1.4636406706,2.4561221264,3.4486062869,4.4410862619,5.4335649508,6.4260521689,7.4185251854,8.411014763,9.403493782,10.3959767662,0.1381258806,1.8184,0.305959693,,,
BRC4ML,11-Jul-12,BigRun,-0.397341635,-0.465048108,0.064679444,2.8469,51.437,51,1,0,0,1.3542213704,2.2297093255,3.1052055832,3.9806920572,4.8561828434,5.7316765607,6.6071616742,7.4826577511,8.3581488676,9.2336383504,0.2429474353,1.8184,0.305959693,1,,
BRC4TL,11-Jul-12,BigRun,-1.38157812,0.489696655,0.037135549,2.8469,51.437,51,0,0,0,1.3541326141,2.2295923655,3.105061073,3.9805193438,4.8559822546,5.7314480934,6.6069053315,7.4823735302,8.3578367711,9.2332980506,0.2719904256,1.8184,0.305959693,1,,
CCC1ML,23-Jul-12,HughesRiver,1.811298018,-1.260187131,0.005336191,3.5741,40.0496,32,0,0,0,1.201264518,1.9960658478,2.7908671767,3.5856672297,4.3804616292,5.1752658003,5.9700650131,6.7648679225,7.5596730342,8.3544721707,0.4912259545,1.7452,0.805481517,1,,
CCC1TL,23-Jul-12,HughesRiver,-0.235819668,-0.050088631,2.040941975,3.5741,40.0496,32,0,0,0,1.2020908207,1.9973141789,2.7925377468,3.5877598282,4.3829760659,5.178202476,5.9734237173,6.7686486551,7.5638760055,8.3590969805,0.1945451939,1.7452,0.805481517,,,
HRC2EL,11-Jun-12,HughesRiver,0.683228589,1.422951049,-0.3199046,3.5741,40.0496,32,0,0,0,1.3261550262,2.1757002319,3.025237089,3.8747819101,4.7243186372,5.5738523145,6.4234034774,7.2729489161,8.1224821649,8.9720275883,0.07061129,1.7452,0.805481517,1,,
HRC2EU,11-Jun-12,HughesRiver,-0.30103184,-0.170701558,-0.875686154,3.5741,40.0496,32,1,0,0,1.3685508213,2.2612368895,3.1539146092,4.0466002927,4.9392800639,5.8319546034,6.7246466289,7.6173329301,8.5100070415,9.4026955089,0.0620337515,1.7452,0.805481517,,,
HRC2WL,11-Jun-12,HughesRiver,1.137458365,1.052846336,0.577249992,3.5741,40.0496,32,0,0,0,1.3257306451,2.1749104123,3.0240816172,3.873261,4.7224318564,5.5716000954,6.4207856059,7.2699656063,8.1191334168,8.9683129698,0.1303785851,1.7452,0.805481517,6,2,2
HRC2WU,11-Jun-12,HughesRiver,1.743068377,-0.692437936,-0.970239822,3.5741,40.0496,32,1,0,0,1.3717360996,2.268504172,3.1652613202,4.0620290084,4.9587855925,5.8555421367,6.7523135908,7.6490818961,8.545837796,9.4426032925,0.1045273462,1.7452,0.805481517,1,,1
HRMC1,10-Jul-12,HughesRiver,4.757854482,0.120253005,-1.285599604,3.5741,40.0496,32,0,0,0,0.8936663899,1.1852312594,1.4767961072,1.7683605925,2.0599242816,2.351488415,2.6430556165,2.934621269,3.2261855442,3.5177504139,0.9839408105,1.7452,0.805481517,,,
HRMC2,10-Jul-12,HughesRiver,2.292500708,-0.222819913,-0.561189932,3.5741,40.0496,32,0,0,0,0.9072344478,1.2538824063,1.6005302179,1.9471777918,2.2938244447,2.6404716669,2.9871218322,3.3337705735,3.6804204716,4.0270684301,0.9785140838,1.7452,0.805481517,,,
JRC1DS,05-Jun-12,JeremysRun,-1.475878815,0.847166936,-0.471221622,5.8,33.4202,31,1,0,0,1.7945577757,2.3969842362,2.9994045135,3.6018309334,4.2042527524,4.8066793158,5.4091019523,6.0115202963,6.6139487644,7.2163679301,0.191359036,5.571,0.1500344828,4,1,
JRC1EL,05-Jun-12,JeremysRun,-0.81442538,0.861707474,1.252317359,5.8,33.4202,31,0,0,0,1.9221553608,2.6586192004,3.3950711918,4.1315349913,4.8679885244,5.6044524675,6.3409130103,7.0773625412,7.8138283884,8.5502792687,0.1013027508,5.571,0.1500344828,,,
JRC1EU,05-Jun-12,JeremysRun,1.458610273,-0.592365154,-1.244399529,5.8,33.4202,31,0,0,0,2.034995844,2.887057065,3.7391122579,4.5911734382,5.4432301728,6.2952914973,7.1473552416,7.9994021538,8.8514653824,9.7035194642,0.0785655354,5.571,0.1500344828,,,
MPC1DS,18-Jul-12,MillProng,-1.559840354,0.0618219,0.436355258,5,18.2437,21,0,0,0,3.0895875144,5.6765544263,8.263513701,10.8504825123,13.4374462647,16.0244357978,18.6113955172,21.1983788675,23.7853371849,26.3723003774,0.0894742277,3.462,0.9228,,,1
MRC1ML,24-Jul-12,MeadowRun,-0.166796948,-0.626686176,-0.198636928,2.7857,20.1817,15,0,0,0,2.5939234926,3.8679801753,5.1420368581,6.4161023173,7.6901833367,8.9642400195,10.2382967022,11.512331462,12.7863881447,14.0604691651,0.7221668105,2.2297,0.1568184657,,,
MRC2NL,14-Jun-12,MeadowRun,0.5899998,-0.031949023,-0.928554482,2.7857,20.1817,15,0,1,1,4.2199245955,6.2232164054,8.2264637199,10.2297563961,12.2330037106,14.2362955204,16.239542834,18.2428355111,20.2460828256,22.2493746345,0.2873783598,2.2297,0.1568184657,,,
MRC2SL,14-Jun-12,MeadowRun,-0.660214473,0.177684912,-0.221250061,2.7857,20.1817,15,1,1,0,4.2209762755,6.2251594165,8.2292989276,10.2334820816,12.2376207273,14.2418047338,16.2459433794,18.2501273989,20.2542660445,22.2584491855,0.2460831382,2.2297,0.1568184657,3,,
MRC2SU,14-Jun-12,MeadowRun,-0.561417751,-0.720155475,1.172931993,2.7857,20.1817,15,0,0,0,4.3474752069,6.4872120798,8.6269122811,10.766649167,12.9063415455,15.0460862412,17.1857786206,19.3255233284,21.4652157069,23.6049525807,0.2200918858,2.2297,0.1568184657,,,
MRC3ML,27-Jun-12,MeadowRun,0.192907382,-0.430662109,-0.023557765,2.7857,20.1817,15,2,0,0,4.7345233562,7.2779547801,9.8213609536,12.3647833247,14.9081702532,17.4516209212,19.9949987848,22.5384494657,25.0818363952,27.6252587532,0.0692571787,2.2297,0.1568184657,,,
NCC1U1,07-Jun-12,NakedCreek,1.011081225,-0.335362882,2.66560563,5,18.7625,19,0,0,0,3.4021895706,5.9431146304,8.4840472882,11.0250047735,13.5659140967,16.1068539472,18.6478018441,21.1887282964,23.7296483435,26.2705927093,0.1397758028,4.9657,0.02058,1,,
NCC1U2,07-Jun-12,NakedCreek,1.150572012,-1.097263309,2.2134537,5,18.7625,19,0,0,0,3.4606516762,6.0622675649,8.6638910509,11.2655393658,13.8671364478,16.4687671272,19.0704058531,21.6720231336,24.2736340095,26.8752661355,0.1279358863,4.9657,0.02058,,,
NCC1W1,07-Jun-12,NakedCreek,1.53201513,-0.348335803,0.443859486,5,18.7625,19,0,0,0,3.3229961349,5.7802479421,8.2375073467,10.6947915802,13.15203132,15.6092979179,18.066572563,20.5238257621,22.9810725566,25.4383473397,0.4249898365,4.9657,0.02058,,,
NCC1W2,07-Jun-12,NakedCreek,0.730562454,-0.524023428,-0.852017773,5,18.7625,19,0,2,1,3.3229961349,5.7802479421,8.2375073467,10.6947915802,13.15203132,15.6092979179,18.066572563,20.5238257621,22.9810725566,25.4383473397,0.4249898365,4.9657,0.02058,,1,1
NCDSG,26-Jul-12,NakedCreek,-0.34474631,-0.860866284,0.49371735,5,18.7625,19,0,0,0,3.8811524319,6.9132051215,9.9452654084,12.9773505242,16.009362638,19.0414301177,22.0735056444,25.1055597258,28.1376074027,31.1696545598,0.0427889077,4.9657,0.02058,,,
NFMTL1,02-Jul-12,NFMoormans,0.704347917,1.362804326,1.732614358,4.2949,49.8692,53,0,0,0,1.5791683253,2.129886246,2.6806145668,3.2313390812,3.7820576435,4.3327846856,4.8835104366,5.4342346318,5.9849557379,6.5356823829,0.2679667928,2.2767,1.0783876644,,1,
NFMTL2,02-Jul-12,NFMoormans,0.972024787,-0.823115776,0.154200579,4.2949,49.8692,53,1,0,1,1.6546169067,2.2869429688,2.9192794306,3.5516120861,4.1839387898,4.8162739729,5.448607865,6.0809402016,6.7132694487,7.3456042347,0.2524413445,2.2767,1.0783876644,,,
PARC1NL,12-Jun-12,PassRun,0.327648813,-0.456496358,1.323971612,5,6.6194,6,0,0,0,1.8884482037,3.0767211279,4.264999712,5.4532502736,6.6415249526,7.8297963809,9.0180645849,10.2063277998,11.3946011184,12.5828584698,0.2165484196,2.2961,1.62234,,,
